epoch,lr_new,lr_warm,train_loss,train_f1,train_acc,val_loss,val_f1,val_acc,val_auc
1,0.0001,1e-05,0.3636837058067322,0.7491347770196777,0.682875,0.33242796301841737,0.7951046190288196,0.7405,0.7953166666666667
2,9.931806517013612e-05,9.931806517013612e-06,0.3420860913991928,0.7797175362887406,0.71925,0.329113924741745,0.7757575757575758,0.7225,0.8044119047619047
3,9.729086208503174e-05,9.729086208503174e-06,0.3372371417284012,0.7786545669757349,0.7195,0.3173345017433167,0.7862564922093488,0.7325,0.8136440476190476
4,9.397368756032445e-05,9.397368756032445e-06,0.33197588205337525,0.782840763072057,0.725375,0.31777909898757933,0.7914353687549563,0.737,0.8195369047619048
5,8.945702546981969e-05,8.94570254698197e-06,0.32663176870346067,0.7791587948692453,0.722375,0.3177945008277893,0.7946287519747235,0.74,0.8270154761904762
